I,set1,set2,set3,set4,set5,set6
1,0,11.3472,9.4858292282,5.8545952404,11.8219031853,9.933889134,3.9256348326
2,3.9e-07,12.8783752670718,12.1772049049723,15.8427350641589,16.478991931353,25.8841136695866,5.69427635752668
3,1.6e-06,21.9274249022715,25.3804105966623,54.3975518516341,39.3721772041205,68.3648391993188,16.1172432763191
4,6.3e-06,80.0958632722212,98.0473351150755,227.318096305939,165.077408741822,213.127572953721,82.4829414599614
5,2.5e-05,447.852267960497,490.167530544766,951.008579424565,828.034809515958,688.101411024294,480.713532866319
6,5e-05,1062.67671429992,1081.97748227266,1813.88907082497,1778.64922393642,1198.9553670751,1074.88391620372
7,7.5e-05,1703.82182879835,1667.78180228822,2528.91759918241,2664.06710804612,1621.77383072375,1615.22492595997
8,1e-04,2321.66995558904,2218.05956156541,3118.00660290294,3449.40157717269,1981.95560802156,2073.20728419904
9,0.00013,3004.62554528428,2818.86742211976,3694.20694634981,4259.62546885568,2351.97507872633,2520.3582198326
10,0.0016,8854.52469445187,8407.82117656347,7501.21727643952,10025.0139065837,6121.57773082851,4879.92628173434
11,0.0064,9370.26716829233,9066.32086493289,7909.30312452883,10545.4561802388,7009.1100793288,5012.64070044192
12,0.0128,9429.54987074966,9154.60478922223,7971.9306514549,10613.1599293947,7199.04985247477,5027.41380467349
