I,Set2,Set3,Set4,Set5,Set6,Set7
1,1e-07,4791.19682,1853.628922,1822.119002,50.96462691,17550.55662,746.6229069
2,2.5e-08,5736.093708,5681.724776,866.8649733,37.41573131,6344.630843,511.5074597
3,6.25e-09,7809.351068,7662.434512,3992.950604,112.0420881,12138.80887,3111.750942
4,1.563e-09,10508.7433,7879.940453,3306.863391,145.9927536,13469.24372,2760.632205
5,3.91e-10,1735.843912,1420.139952,585.9042972,42.68678176,2199.549491,455.2420407
6,9.77e-11,629.3225555,461.5330364,255.1117111,31.91141665,817.4368087,151.2132329
7,2.44e-11,192.4470353,121.8072839,87.23215279,33.60483663,247.071543,36.8964893
8,6.1e-12,97.20311708,64.32814468,53.29398986,16.28490001,137.5419946,26.3466234
9,1.53e-12,72.98713989,51.22924453,48.9069183,27.96134724,128.920615,27.74391448
10,3.81e-13,98.34625366,63.84683222,34.67856727,22.52727936,160.2195985,20.04555926
