element	k	k.se	n1	n1.se	K1	K1.se	alpha	alpha.se	R2
Plac/rbs30	9456	487	1.37	0.27	0.228e-3	0.039e-3	0.0012	0.0276	0.9983
Plac/rbs31	525.8	36.2	1.363	0.366	0.294e-3	0.065e-3	0.1335	0.0411	0.9972
Plac/rbs32	195.5	17.7	1.637	0.62	0.218e-3	0.065e-3	0.1487	0.0609	0.994
Plac/rbs33	27.61	1.2e9	1.933e-10	0	0.100e-3	0	0.975	6.5e7	-2.4e-10
Plac/rbs34	7648	152	1.369	0.124	0.259e-3	0.021e-3	1.472e-9	0	0.9991
Plac/rbsH	2071	100	1.282	0.231	0.287e-3	0.045e-3	0.0037	0.0241	0.9987
PBAD/rbs30	1.048e5	0.026e5	1.228	0.104	0.370e-3	0.028e-3	0.0055	0.0104	0.9997
PBAD/rbs31	8.521e4	0.434e4	1.512	0.314	0.417e-3	0.062e-3	0.0051	0.0229	0.9986
PBAD/rbs32	5.208e4	0.098e4	1.268	0.078	0.516e-3	0.029e-3	0.0026	0.0072	0.9999
PBAD/rbs33	1.29e4	0.046e4	1.323	0.161	0.513e-3	0.055e-3	0.0013	0.014	0.9994
PBAD/rbs34	1.411e5	0.063e5	1.173	0.162	0.524e-3	0.072e-3	0.0050	0.0163	0.9992
PBAD/rbsH	9.229e4	0.189e4	1.415	0.107	0.480e-3	0.029e-3	0.0033	0.0086	0.9998
Plux/rbs30	1.221e5	0.084e5	1.584	0.422	3.073e-9	0	0.0095	0.032	0.9955
Plux/rbs31	7.693e4	0.21e4	1.771	0.193	2.955e-9	0	0.0126	0.013	0.9993
Plux/rbs32	5.143e4	0.161e4	1.655	0.202	3.509e-9	0	0.0113	0.0143	0.9991
Plux/rbs33	1970	61	1.742	0.212	3.366e-9	0	0.0308	0.0148	0.9991
Plux/rbs34	1.349e5	0.103e5	1.898	0.59	2.890e-9	0	0.0149	0.0373	0.9944
Plux/rbsH	3.194e4	0.137e4	1.616	0.269	3.784e-9	0	0.0114	0.0192	0.9984
Plac/rbsH(37)	2946	32	1.697	0.271	0.116e-3	0.011e-3	0.0160	0.019	0.9993
PBAD/rbs33(37)	1.203e4	0.017e4	1.396	0.078	0.525e-3	0.026e-3	4.69e-10	0	0.9998
Plux/rbs33(37)	1987	142	1.776	0.682	5.27e-9	2.9e-9	2.2e-7	0.0381	0.9964
